dealer,model,month,month_name,si
DEALER 19,B1,8,Ağustos,2.2373
DEALER 19,B1,9,Eylül,1.4237
DEALER 19,B1,10,Ekim,0.6102
DEALER 19,B1,11,Kasım,0.4068
DEALER 19,B1,12,Aralık,0.6102
DEALER 19,C1,1,Ocak,1.8113
DEALER 19,C1,2,Şubat,1.1321
DEALER 19,C1,3,Mart,0.0
DEALER 19,C1,4,Nisan,0.4528
DEALER 19,C1,5,Mayıs,1.3585
DEALER 19,C1,6,Haziran,0.9057
DEALER 19,C1,7,Temmuz,0.0
DEALER 19,C1,8,Ağustos,0.9057
DEALER 19,C1,9,Eylül,1.3585
DEALER 19,C1,10,Ekim,0.9057
DEALER 19,C1,11,Kasım,2.2642
DEALER 19,C1,12,Aralık,0.9057
DEALER 2,A2,1,Ocak,0.7805
DEALER 2,A2,2,Şubat,1.1707
DEALER 2,A2,3,Mart,0.1951
DEALER 2,A2,4,Nisan,0.9756
DEALER 2,A2,5,Mayıs,1.7561
DEALER 2,A2,6,Haziran,0.5854
DEALER 2,A2,7,Temmuz,0.7805
DEALER 2,A2,8,Ağustos,0.7805
DEALER 2,A2,9,Eylül,0.7805
DEALER 2,A2,10,Ekim,0.7805
DEALER 2,A2,11,Kasım,1.2683
DEALER 2,A2,12,Aralık,2.1463
DEALER 2,A3,1,Ocak,1.4694
DEALER 2,A3,2,Şubat,0.4898
DEALER 2,A3,3,Mart,0.9796
DEALER 2,A3,4,Nisan,0.9796
DEALER 2,A3,5,Mayıs,0.0
DEALER 2,A3,6,Haziran,1.4694
DEALER 2,A3,7,Temmuz,0.7347
DEALER 2,A3,8,Ağustos,1.2245
DEALER 2,A3,9,Eylül,0.7347
DEALER 2,A3,10,Ekim,1.9592
DEALER 2,A3,11,Kasım,1.2245
DEALER 2,A3,12,Aralık,0.7347
DEALER 2,B1,1,Ocak,0.4528
DEALER 2,B1,2,Şubat,0.9057
DEALER 2,B1,3,Mart,2.717
DEALER 2,B1,4,Nisan,1.1321
DEALER 2,B1,5,Mayıs,0.9057
DEALER 2,B1,6,Haziran,1.3585
DEALER 2,B1,7,Temmuz,1.1321
DEALER 2,B1,8,Ağustos,0.4528
DEALER 2,B1,9,Eylül,1.5849
DEALER 2,B1,10,Ekim,0.6792
DEALER 2,B1,11,Kasım,0.0
DEALER 2,B1,12,Aralık,0.6792
DEALER 2,C1,1,Ocak,0.0
DEALER 2,C1,2,Şubat,0.8
DEALER 2,C1,3,Mart,0.8
DEALER 2,C1,4,Nisan,0.8
DEALER 2,C1,5,Mayıs,0.8
DEALER 2,C1,6,Haziran,0.8
DEALER 2,C1,7,Temmuz,1.6
DEALER 2,C1,8,Ağustos,0.0
DEALER 2,C1,9,Eylül,0.8
DEALER 2,C1,10,Ekim,2.4
DEALER 2,C1,11,Kasım,1.6
DEALER 2,C1,12,Aralık,1.6
DEALER 20,A2,1,Ocak,0.8276
DEALER 20,A2,2,Şubat,1.2414
DEALER 20,A2,3,Mart,0.8276
DEALER 20,A2,4,Nisan,0.8276
DEALER 20,A2,5,Mayıs,0.4138
DEALER 20,A2,6,Haziran,0.8276
DEALER 20,A2,7,Temmuz,0.6207
DEALER 20,A2,8,Ağustos,0.8276
DEALER 20,A2,9,Eylül,1.2414
DEALER 20,A2,10,Ekim,2.069
DEALER 20,A2,11,Kasım,0.4138
DEALER 20,A2,12,Aralık,1.8621
DEALER 20,A3,1,Ocak,1.3333
