Zone Code;Zone Name;Dealer Code;Dealer Name;Sales Channel;Channel Description;Channel Group;City;District;Shipping Completed;VIN;Şasi;Model Description;Vehicle Version;Vehicle Code;Model Yılı;Connection Date;Deferred Delivery;Connection Status;Estimated Production Date;Customer Delivery Date;Sales Date;Sales Time;Final Customer Invoice Date;Brand;Exterior Color Type;Exterior Color;Interior Color;Invoice Date;Sales Type;Sales Type Description;Estimated Vessel Arrival Date;Estimated Delivery Date
J00;NORTHSTAR ZONE;BA-3-MAR-05;DEALER 13;RS;Additional Discounted Retail;B2C SALES;İSTANBUL;KADIKÖY;Y;ZAC5JBCE8SJL98917;SJL98917;A1;A1V01;K2;2025;2025-09-24;NO;Delivery;W24/06/2025;2025-10-08;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;Grey3;IG1b;2025-09-24;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-06;DEALER 16;RS;Additional Discounted Retail;B2C SALES;İSTANBUL;ŞİŞLİ;Y;ZAC5JBCE5SJL97434;SJL97434;A1;A1V01;K2;2025;2025-09-24;NO;Delivery;W24/06/2025;2025-09-26;2025-09-24 00:00:00;1900-01-00;2025-09-24;NORTHSTAR;Color;Grey1;IG1b;2025-09-18;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-ICA-01;DEALER 1;RE;Retail;B2C SALES;ANKARA;ÇANKAYA;Y;ZAC5JBCE9SJL97520;SJL97520;A1;A1V01;K2;2025;2025-09-28;NO;Delivery;W24/06/2025;2025-10-07;2025-09-29 00:00:00;1900-01-00;2025-09-29;NORTHSTAR;Color;Grey1;IG1b;2025-09-18;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-EGE-02;DEALER 6;RS;Additional Discounted Retail;B2C SALES;İZMİR;KONAK;Y;ZAC5JBCEXSJL97526;SJL97526;A1;A1V01;K2;2025;2025-09-19;NO;Delivery;W24/06/2025;2025-10-06;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;Grey1;IG1b;2025-09-19;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-02;DEALER 7;RS;Additional Discounted Retail;B2C SALES;İSTANBUL;BAHÇELİEVLER;Y;ZAC5JBCE8SJL97430;SJL97430;A1;A1V01;K2;2025;2025-09-30;NO;Delivery;W24/06/2025;2025-10-08;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;Grey1;IG1b;2025-09-30;RE;Retail;;31.07.2025
002;2 BOLGE - NORTHSTAR;BA-3-MAR-01;DEALER 5;FL;Fleet;B2C SALES;İSTANBUL;BEŞİKTAŞ;Y;ZAC5JBCE5SJL97661;SJL97661;A1;A1V01;K2;2025;2025-10-22;NO;Delivery;W24/06/2025;2025-10-31;2025-10-23 00:00:00;1900-01-00;2025-10-23;NORTHSTAR;Color;Grey1;IG1b;2025-09-26;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-EGE-02;DEALER 6;RE;Retail;B2C SALES;İZMİR;BAYRAKLI;Y;ZAC5JBCE2SJL97486;SJL97486;A1;A1V01;K2;2025;2025-09-24;NO;Delivery;W24/06/2025;2025-10-04;2025-09-26 00:00:00;1900-01-00;2025-09-26;NORTHSTAR;Color;Grey1;IG1b;2025-09-24;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-07;DEALER 17;RS;Additional Discounted Retail;B2C SALES;İSTANBUL;BEŞİKTAŞ;Y;ZAC5JBCE8SJL97671;SJL97671;A1;A1V01;K2;2025;2025-09-23;NO;Delivery;W24/06/2025;2025-10-07;2025-09-29 00:00:00;1900-01-00;2025-09-29;NORTHSTAR;Color;Grey1;IG1b;2025-09-23;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-AKD-04;DEALER 15;RE;Retail;B2C SALES;ANTALYA;MURATPAŞA;Y;ZAC5JBCE3SJL97674;SJL97674;A1;A1V01;K2;2025;2025-10-10;NO;Delivery;W24/06/2025;2025-10-21;2025-10-10 00:00:00;1900-01-00;2025-10-13;NORTHSTAR;Color;Grey1;IG1b;2025-09-24;RE;Retail;;31.07.2025
001;1 BOLGE - NORTHSTAR;BA-3-EGE-01;DEALER 2;RE;Retail;B2C SALES;İZMİR;GÜZELBAHÇE;Y;ZAC5JBCE0SJL97678;SJL97678;A1;A1V01;K2;2025;2025-09-19;NO;Delivery;W24/06/2025;2025-09-30;2025-09-22 00:00:00;1900-01-00;2025-09-22;NORTHSTAR;Color;Grey1;IG1b;2025-09-18;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-ICA-04;DEALER 14;RE;Retail;B2C SALES;KAYSERİ;YAHYALI;N;ZAC5JBCE8SJL97685;SJL97685;A1;A1V01;K2;2025;2025-10-10;NO;Delivery;W24/06/2025;2025-10-15;2025-10-15 00:00:00;1900-01-00;2025-10-15;NORTHSTAR;Color;Grey1;IG1b;2025-09-30;RE;Retail;;31.07.2025
001;1 BOLGE - NORTHSTAR;BA-3-EGE-01;DEALER 2;RE;Retail;B2C SALES;MUĞLA;MARMARİS;Y;ZAC5JBCE0SJL97552;SJL97552;A1;A1V01;K2;2025;2025-09-29;NO;Delivery;W24/06/2025;2025-10-07;2025-09-29 00:00:00;1900-01-00;2025-09-29;NORTHSTAR;Color;Grey1;IG1b;2025-09-23;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-03;DEALER 8;RS;Additional Discounted Retail;B2C SALES;EDİRNE;KEŞAN;Y;ZAC5JBCE5SJL97563;SJL97563;A1;A1V01;K2;2025;2025-10-17;NO;Delivery;W24/06/2025;2025-10-25;2025-10-17 00:00:00;1900-01-00;2025-10-17;NORTHSTAR;Color;Grey1;IG1b;2025-09-22;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-04;DEALER 12;RS;Additional Discounted Retail;B2C SALES;BURSA;NİLÜFER;Y;ZAC5JBCEXSJL97574;SJL97574;A1;A1V01;K2;2025;2025-09-26;NO;Delivery;W24/06/2025;2025-10-04;2025-09-26 00:00:00;1900-01-00;2025-09-26;NORTHSTAR;Color;Grey1;IG1b;2025-09-22;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-EGE-02;DEALER 6;RS;Additional Discounted Retail;B2C SALES;BALIKESİR;AYVALIK;Y;ZAC5JBCE8SJL97931;SJL97931;A1;A1V01;K2;2025;2025-09-29;NO;Delivery;W24/06/2025;2025-10-09;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;Grey1;IG1b;2025-09-30;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-AKD-04;DEALER 15;RS;Additional Discounted Retail;B2C SALES;ANTALYA;MANAVGAT;Y;ZAC5JBCE9SJL97582;SJL97582;A1;A1V01;K2;2025;2025-09-23;NO;Delivery;W24/06/2025;2025-10-03;2025-09-25 00:00:00;1900-01-00;2025-09-25;NORTHSTAR;Color;Grey1;IG1b;2025-09-24;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-06;DEALER 16;RE;Retail;B2C SALES;İSTANBUL;FATİH;Y;ZAC5JBCE6SJL97667;SJL97667;A1;A1V01;K2;2025;2025-09-30;NO;Delivery;W24/06/2025;2025-10-08;2025-09-30 00:00:00;1900-01-00;2025-09-30;NORTHSTAR;Color;Grey1;IG1b;2025-09-24;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-AKD-04;DEALER 15;RS;Additional Discounted Retail;B2C SALES;ANTALYA;MURATPAŞA;Y;ZAC5JBCE5SJL97482;SJL97482;A1;A1V01;K2;2025;2025-09-22;NO;Delivery;W24/06/2025;2025-10-03;2025-09-24 00:00:00;1900-01-00;2025-09-25;NORTHSTAR;Color;Grey1;IG1b;2025-09-24;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-AKD-01;DEALER 3;RS;Additional Discounted Retail;B2C SALES;ADANA;ALADAĞ;Y;ZAC5JBCE5SJL97479;SJL97479;A1;A1V01;K2;2025;2025-09-25;NO;Delivery;W24/06/2025;2025-10-07;2025-09-27 00:00:00;1900-01-00;2025-09-29;NORTHSTAR;Color;Grey1;IG1b;2025-09-26;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-AKD-02;DEALER 4;RS;Additional Discounted Retail;B2C SALES;ADANA;SEYHAN;Y;ZAC5JBCE5SJL97756;SJL97756;A1;A1V01;K2;2025;2025-10-08;NO;Delivery;W24/06/2025;2025-10-10;2025-10-08 00:00:00;1900-01-00;2025-10-08;NORTHSTAR;Color;Grey1;IG1b;2025-09-30;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-KAR-01;DEALER 20;RS;Additional Discounted Retail;B2C SALES;GİRESUN;ESPİYE;Y;ZAC5JBCE6SJL97751;SJL97751;A1;A1V01;K2;2025;2025-10-10;NO;Delivery;W24/06/2025;2025-10-24;2025-10-24 00:00:00;1900-01-00;2025-10-24;NORTHSTAR;Color;Grey1;IG1b;2025-10-16;RE;Retail;;31.10.2025
002;2 BOLGE - NORTHSTAR;BA-3-MAR-01;DEALER 5;RS;Additional Discounted Retail;B2C SALES;ANKARA;ALTINDAĞ;Y;ZAC5JBCE7SJL97516;SJL97516;A1;A1V01;K2;2025;2025-09-18;NO;Delivery;W24/06/2025;2025-10-01;2025-09-23 00:00:00;1900-01-00;2025-09-23;NORTHSTAR;Color;Grey1;IG1b;2025-09-23;RE;Retail;;31.07.2025
J00;NORTHSTAR ZONE;BA-3-MAR-04;DEALER 12;RS;Additional Discounted Retail;B2C SALES;BURSA;OSMANGAZİ;Y;ZAC5JBCE7SJL97502;SJL97502;A1;A1V01;K2;2025;2025-10-09;NO;Delivery;W24/06/2025;2025-10-18;2025-10-10 00:00:00;1900-01-00;2025-10-10;NORTHSTAR;Color;Grey1;IG1b;2025-09-29;RE;Retail;;31.07.2025
